Test Evaluation: 
F1-score: 0.9657965906726874
OOV: 0.8590878148400273
F1-score: 0.9738150804608937
OOV: 0.8672566371681416
F1-score: 0.9766157605375687
OOV: 0.8692988427501702
F1-score: 0.9783323352927518
OOV: 0.8771272974812798
F1-score: 0.978661517403207
OOV: 0.8822328114363512
F1-score: 0.9777240714294433
OOV: 0.876786929884275
F1-score: 0.9786729568203762
OOV: 0.8761061946902655
F1-score: 0.9782539643755956
OOV: 0.8778080326752893
F1-score: 0.9781462128241442
OOV: 0.8761061946902655
F1-score: 0.9785681158005223
OOV: 0.8733832539142273
F1-score: 0.9791641222306359
OOV: 0.8812117086453369
F1-score: 0.9787093700758547
OOV: 0.8808713410483322
