Test Evaluation: 
F1-score: 0.9717945836610855
OOV: 0.855779427359491
F1-score: 0.9768259909104979
OOV: 0.8667373630258042
F1-score: 0.9801380357318564
OOV: 0.8624955814775539
F1-score: 0.9814869453225616
OOV: 0.8663838812301167
F1-score: 0.9816836436014519
OOV: 0.8624955814775539
F1-score: 0.9809760054769596
OOV: 0.8709791445740545
F1-score: 0.9814776606519863
OOV: 0.8685047720042418
F1-score: 0.9823830217660059
OOV: 0.8596677271120537
F1-score: 0.9821283851836584
OOV: 0.8593142453163662
F1-score: 0.9825899907677744
OOV: 0.8670908448214917
