Test Evaluation: 
F1-score: 0.9527083473367838
OOV: 0.8206494587843464
F1-score: 0.9616917508831283
OOV: 0.860616153205662
F1-score: 0.9618501794604608
OOV: 0.8676103247293921
F1-score: 0.9641863733048441
OOV: 0.8602830974188177
F1-score: 0.9662321163035789
OOV: 0.8704412989175687
F1-score: 0.9655245479280536
OOV: 0.8691090757701915
F1-score: 0.9656717566060232
OOV: 0.8589508742714405
F1-score: 0.9656104765845256
OOV: 0.8601165695253955
F1-score: 0.9651108013267318
OOV: 0.8501248959200666
F1-score: 0.9651957857431768
OOV: 0.8647793505412157
